מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אודים,446,1948,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,19,מועצה אזורית חוף השרון,1.1,0.6,0.5,1,יהודים,98.5,26.2,66.4,7.4,28.7,65.1,6.3,23.5,67.9,8.6,546.1,32.0,31.0,33.0,58.6,41.4,56.2,43.8,61.1,38.9,87.7,12.3,43.2,38.2,16.2,2.3,53.0,7.1,10.2,24.3,5.4
אום אל-קוטוף,2024,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,14,מועצה אזורית מנשה,0.9,0.5,0.4,2,מוסלמים,100.0,44.5,52.8,2.7,43.8,53.9,2.3,45.4,51.6,3.0,1016.8,21.0,21.0,20.0,61.1,38.9,57.1,42.9,65.7,34.3,,,,,,,,,,,
אומץ,680,1949,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.6,0.3,0.3,1,יהודים,98.2,36.9,56.4,6.6,36.6,57.2,6.2,37.3,55.7,7.1,875.2,30.0,30.0,31.0,62.0,38.0,58.8,41.2,65.5,34.5,87.1,12.9,72.1,14.6,11.4,1.9,52.5,4.6,9.7,29.9,3.3
אורה,780,1950,1,מחוז ירושלים,11,נפת ירושלים,111,הרי יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,1.0,0.5,0.5,1,יהודים,97.6,29.5,64.7,5.8,30.7,63.8,5.6,28.4,65.6,6.0,609.0,30.0,30.0,29.0,54.4,45.6,54.4,45.6,54.3,45.7,83.6,16.4,47.9,20.6,20.2,11.4,45.5,26.7,15.0,8.6,4.2
אחוזם,821,1950,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,310,מושב,50,מועצה אזורית לכיש,0.5,0.3,0.3,1,יהודים,98.6,30.8,56.2,13.1,32.0,56.1,11.9,29.5,56.3,14.2,868.2,29.0,31.0,29.0,58.2,41.8,58.6,41.4,57.8,42.2,77.0,23.0,81.4,13.7,3.9,1.0,35.1,3.8,58.6,2.0,0.5
אחוזת ברק,1330,1998,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,370,יישוב קהילתי,9,מועצה אזורית עמק יזרעאל,1.2,0.6,0.6,1,יהודים,97.3,40.1,57.7,2.2,40.6,56.8,2.7,39.7,58.6,1.7,822.2,27.0,26.0,29.0,67.2,32.8,65.6,34.4,69.0,31.0,84.6,15.4,19.8,41.0,27.2,12.0,47.2,9.1,17.0,19.7,7.0
אחיהוד,785,1950,2,מחוז הצפון,24,נפת עכו,246,אזור עכו,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",310,מושב,4,מועצה אזורית מטה אשר,0.7,0.3,0.4,1,יהודים,100.0,39.0,49.7,11.3,38.4,51.5,10.2,39.6,48.0,12.4,1107.2,28.0,28.0,25.0,61.6,38.4,66.0,34.0,57.7,42.3,84.0,16.0,95.4,4.6,,,48.6,46.9,3.8,0.7,
אחיטוב,850,1951,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,1.0,0.5,0.5,1,יהודים,99.5,33.1,58.9,7.9,36.9,55.3,7.7,29.2,62.6,8.2,776.4,30.0,28.0,32.0,64.2,35.8,63.7,36.3,64.6,35.4,86.6,13.4,82.0,9.9,5.7,2.4,48.5,38.6,5.1,6.2,1.5
אחיסמך,804,1950,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,25,מועצה אזורית חבל מודיעין,1.2,0.6,0.6,1,יהודים,99.7,36.5,57.3,6.2,37.0,57.8,5.2,35.9,56.9,7.2,904.4,25.0,25.0,26.0,61.3,38.7,57.8,42.2,65.2,34.8,90.7,9.3,92.6,6.4,1.0,,52.9,4.4,41.2,1.1,0.4
אחיעזר,797,1950,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",310,מושב,40,מועצה אזורית עמק לוד,1.6,0.8,0.8,1,יהודים,99.5,37.8,48.3,13.9,37.3,53.3,9.4,38.2,43.3,18.5,1281.3,23.0,23.0,26.0,51.2,48.8,50.4,49.6,52.0,48.0,83.9,16.1,70.7,10.7,16.2,2.4,54.7,34.5,3.9,6.6,0.4
איילת השחר,77,1918,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,1.4,0.7,0.7,1,יהודים,72.3,27.6,60.5,11.9,27.5,60.7,11.8,27.7,60.2,12.1,734.6,28.0,29.0,28.0,47.5,52.5,47.5,52.5,47.5,52.5,75.0,25.0,30.1,15.5,9.8,44.5,46.2,8.1,20.2,22.8,2.6
אילון,294,1938,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,330,קיבוץ,4,מועצה אזורית מטה אשר,0.9,0.4,0.4,1,יהודים,96.7,29.2,60.5,10.3,31.2,58.8,10.0,27.3,62.1,10.6,725.5,33.0,32.0,35.0,57.6,42.4,58.6,41.4,56.7,43.3,83.8,16.2,59.7,27.3,7.9,5.1,46.6,5.7,10.4,33.8,3.5
איתמר,3762,1984,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,72,מועצה אזורית שומרון,1.0,0.7,0.3,1,יהודים,99.7,55.3,44.2,0.5,56.7,42.7,0.6,52.3,47.4,0.3,2223.1,17.0,17.0,13.0,38.5,61.5,25.4,74.6,79.9,20.1,93.5,6.5,9.1,45.0,38.3,7.6,62.0,3.5,12.4,13.1,9.1
אלומה,1145,1965,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,34,מועצה אזורית שפיר,0.5,0.3,0.2,1,יהודים,100.0,46.7,53.1,0.2,43.4,56.2,0.4,50.5,49.5,,1349.8,18.0,19.0,17.0,48.7,51.3,44.1,55.9,54.2,45.8,93.3,6.7,17.3,71.8,11.0,,59.7,5.9,26.5,5.2,2.8
אלון הגליל,1182,1980,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,242,"מטרופולין חיפה, טבעת חיצונית, גזרה מזרחית",310,מושב,9,מועצה אזורית עמק יזרעאל,0.9,0.5,0.4,1,יהודים,99.5,39.8,59.1,1.0,41.5,57.4,1.1,38.1,60.9,0.9,850.1,23.0,22.0,24.0,54.1,45.9,55.1,44.9,53.1,46.9,93.2,6.8,5.1,50.9,30.0,14.1,64.5,3.5,4.0,21.1,7.0
אלון מורה,3579,1979,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,72,מועצה אזורית שומרון,1.4,0.8,0.6,1,יהודים,99.8,42.4,55.8,1.7,41.1,57.0,1.8,44.2,54.3,1.6,1055.5,20.0,20.0,20.0,54.3,45.7,45.8,54.2,66.9,33.1,87.7,12.3,13.0,39.8,43.9,3.2,59.1,6.7,8.7,11.9,13.6
אלוני אבא,429,1948,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,242,"מטרופולין חיפה, טבעת חיצונית, גזרה מזרחית",320,מושב שיתופי,9,מועצה אזורית עמק יזרעאל,0.6,0.3,0.3,1,יהודים,98.1,40.5,53.6,6.0,41.6,53.0,5.4,39.4,54.1,6.6,913.7,31.0,28.0,32.0,72.2,27.8,72.8,27.2,71.5,28.5,88.7,11.3,59.6,24.6,9.9,5.9,58.0,4.9,6.0,25.3,5.8
אליקים,682,1949,2,מחוז הצפון,23,נפת יזרעאל,236,רמת מנשה,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,13,מועצה אזורית מגידו,0.7,0.4,0.4,1,יהודים,99.9,26.3,61.4,12.3,26.1,63.2,10.7,26.4,59.7,13.9,645.7,32.0,33.0,31.0,56.2,43.8,56.3,43.7,56.1,43.9,80.8,19.2,87.0,6.2,5.4,1.4,44.5,47.4,4.9,2.2,1.0
אלישיב,204,1933,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.6,0.3,0.3,1,יהודים,98.8,29.2,61.1,9.8,27.8,62.2,9.9,30.4,60.0,9.6,687.1,30.0,31.0,29.0,60.2,39.8,60.3,39.7,60.2,39.8,92.2,7.8,66.8,25.1,5.5,2.6,62.7,29.3,2.9,2.4,2.7
אלישמע,841,1951,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,20,מועצה אזורית דרום השרון,1.0,0.5,0.5,1,יהודים,98.8,32.6,61.1,6.3,33.1,61.5,5.3,32.1,60.6,7.4,719.3,31.0,31.0,30.0,62.0,38.0,61.7,38.3,62.3,37.7,88.9,11.1,80.7,14.4,4.1,0.9,51.2,10.2,33.8,3.1,1.8
אלעזר,3618,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,76,מועצה אזורית גוש עציון,1.7,0.8,0.9,1,יהודים,100.0,53.1,45.1,1.9,51.5,45.9,2.5,54.5,44.3,1.2,1321.6,15.0,16.0,14.0,75.7,24.3,76.9,23.1,74.5,25.5,81.3,18.7,2.8,45.6,25.8,25.8,51.2,3.4,7.3,17.6,20.6
אמונים,772,1950,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,0.9,0.4,0.4,1,יהודים,98.8,31.0,61.5,7.5,32.0,60.9,7.1,30.0,62.0,8.0,696.4,31.0,29.0,32.0,60.9,39.1,60.3,39.7,61.5,38.5,84.0,16.0,74.4,17.5,5.9,2.2,45.1,10.9,32.2,10.2,1.7
אמירים,1064,1950,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,0.6,0.3,0.3,1,יהודים,97.0,31.6,61.5,7.0,31.1,60.8,8.1,32.0,62.0,5.9,687.3,30.0,30.0,31.0,52.4,47.6,53.4,46.6,51.5,48.5,87.0,13.0,39.9,35.9,16.9,7.4,50.0,7.2,10.6,26.0,6.3
אפיקים,176,1932,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,6,מועצה אזורית עמק הירדן,1.4,0.7,0.7,1,יהודים,95.3,35.4,49.0,15.5,38.3,48.1,13.6,32.5,49.9,17.5,1346.0,25.0,23.0,30.0,41.3,58.7,41.0,59.0,41.6,58.4,79.2,20.8,48.9,15.3,18.5,17.3,53.3,4.8,7.5,27.5,7.0
אשדות יעקב (איחוד),199,1933,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,6,מועצה אזורית עמק הירדן,0.7,0.3,0.3,1,יהודים,97.4,22.4,66.5,11.0,24.3,67.4,8.4,20.6,65.6,13.8,571.4,28.0,26.0,28.0,38.4,61.6,39.5,60.5,37.3,62.7,86.3,13.7,55.4,16.6,22.6,5.4,55.4,6.5,6.7,24.5,6.9
אשכולות,3722,1982,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,78,מועצה אזורית הר חברון,0.5,0.3,0.3,1,יהודים,99.4,54.1,45.2,0.8,55.0,44.2,0.8,53.1,46.2,0.8,1326.2,13.0,13.0,13.0,78.7,21.3,77.8,22.2,79.6,20.4,92.6,7.4,5.2,67.7,24.4,2.7,61.5,4.7,15.8,12.1,5.9
אשרת,1256,1983,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",370,יישוב קהילתי,4,מועצה אזורית מטה אשר,0.7,0.4,0.3,1,יהודים,93.5,43.1,56.0,0.8,41.3,58.1,0.6,45.1,53.9,1.0,1119.8,19.0,18.0,19.0,37.4,62.6,35.8,64.2,39.2,60.8,82.7,17.3,9.1,15.2,71.2,4.5,44.1,17.1,18.1,19.3,1.5
אשתאול,740,1949,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,1.0,0.5,0.5,1,יהודים,99.8,40.8,54.0,5.2,38.0,57.3,4.7,43.5,50.9,5.6,959.7,25.0,26.0,22.0,62.6,37.4,63.8,36.2,61.5,38.5,88.4,11.6,74.6,12.3,12.2,0.9,56.8,31.2,5.0,5.8,1.1
באר טוביה,155,1930,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,0.8,0.4,0.4,1,יהודים,97.5,28.8,53.3,18.0,29.7,52.6,17.7,27.9,53.9,18.2,955.3,36.0,36.0,35.0,64.7,35.3,65.8,34.2,63.6,36.4,91.4,8.6,59.8,23.6,15.1,1.5,57.3,3.7,4.8,31.3,2.8
בארותיים,697,1949,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.8,0.4,0.4,1,יהודים,99.5,36.5,57.7,5.9,37.4,56.7,5.9,35.5,58.7,5.8,805.9,31.0,30.0,33.0,65.9,34.1,65.1,34.9,66.8,33.2,85.9,14.1,65.0,26.1,5.1,3.7,50.6,6.9,12.7,27.4,2.5
בארי,399,1946,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,38,מועצה אזורית אשכול,0.9,0.4,0.4,1,יהודים,96.5,27.1,60.0,12.9,28.1,61.3,10.7,26.1,58.7,15.2,755.3,35.0,32.0,38.0,53.8,46.2,54.6,45.4,53.1,46.9,85.3,14.7,59.9,29.1,8.0,3.1,54.2,8.9,7.2,22.4,7.4
בוסתן הגליל,559,1948,2,מחוז הצפון,24,נפת עכו,246,אזור עכו,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",310,מושב,4,מועצה אזורית מטה אשר,0.8,0.4,0.4,1,יהודים,97.9,29.8,62.4,7.8,29.9,63.8,6.3,29.7,60.8,9.5,761.7,30.0,29.0,31.0,46.5,53.5,43.4,56.6,50.1,49.9,87.4,12.6,54.9,23.6,14.9,6.7,52.4,4.2,11.8,28.4,3.1
בורגתה,698,1949,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,1.0,0.5,0.5,1,יהודים,99.1,33.2,61.4,5.5,36.4,58.0,5.6,29.7,64.9,5.3,692.0,31.0,28.0,33.0,62.8,37.2,63.5,36.5,62.2,37.8,86.4,13.6,55.4,25.4,8.9,10.3,49.9,22.1,11.7,13.1,3.2
בטחה,762,1950,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",310,מושב,42,מועצה אזורית מרחבים,0.6,0.3,0.3,1,יהודים,99.8,34.7,55.1,10.2,35.9,55.3,8.8,33.4,54.9,11.7,924.4,31.0,31.0,31.0,57.1,42.9,57.0,43.0,57.2,42.8,86.4,13.6,92.0,5.7,2.3,,43.9,47.3,6.2,0.9,1.6
ביצרון,234,1935,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,1.1,0.6,0.6,1,יהודים,99.1,32.8,58.4,8.8,32.7,58.6,8.7,32.8,58.2,9.0,789.6,31.0,31.0,31.0,62.4,37.6,61.7,38.3,63.1,36.9,87.1,12.9,51.4,28.4,16.7,3.5,54.0,6.7,8.2,27.2,3.9
בירייה,368,1945,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,2,מועצה אזורית מרום הגליל,0.7,0.3,0.3,1,יהודים,99.6,32.7,61.3,6.0,31.9,62.5,5.6,33.6,60.0,6.4,731.1,29.0,29.0,29.0,62.3,37.7,61.3,38.7,63.3,36.7,82.5,17.5,59.0,24.7,11.8,4.5,44.7,7.4,38.0,7.4,2.5
בית אלעזרי,562,1948,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,28,מועצה אזורית ברנר,1.2,0.6,0.6,1,יהודים,98.3,32.2,61.2,6.6,33.8,60.1,6.1,30.6,62.4,7.1,707.2,32.0,32.0,32.0,63.6,36.4,63.9,36.1,63.2,36.8,86.3,13.7,63.8,21.7,6.9,7.6,49.3,16.1,8.2,21.6,4.7
בית אלפא,95,1922,2,מחוז הצפון,23,נפת יזרעאל,232,עמק חרוד,,ללא שיוך למטרופולין,330,קיבוץ,8,מועצה אזורית הגלבוע,1.2,0.6,0.6,6,דת אחרת,46.0,43.6,44.6,11.8,44.8,43.6,11.6,42.5,45.5,12.0,1341.1,24.0,22.0,26.0,54.3,45.7,57.8,42.2,51.2,48.8,84.7,15.3,59.9,13.4,16.8,9.8,44.6,4.8,5.1,41.0,4.5
בית גמליאל,571,1949,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,29,מועצה אזורית חבל יבנה,0.9,0.5,0.4,1,יהודים,97.8,36.5,57.6,5.9,35.7,59.3,5.0,37.3,55.7,6.9,839.3,27.0,25.0,28.0,63.5,36.5,62.1,37.9,64.9,35.1,83.7,16.3,37.8,37.0,18.3,6.9,48.8,4.1,7.9,28.4,10.9
בית הגדי,723,1949,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,39,מועצה אזורית שדות נגב,0.7,0.3,0.3,1,יהודים,100.0,38.8,49.3,11.8,39.9,49.8,10.3,37.6,48.8,13.6,1223.6,24.0,22.0,27.0,58.6,41.4,55.1,44.9,62.5,37.5,81.1,18.9,78.6,5.9,9.8,5.7,46.6,2.6,49.6,1.1,
בית הלוי,373,1945,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.7,0.3,0.3,1,יהודים,99.1,32.3,60.2,7.5,34.8,57.6,7.6,29.9,62.7,7.4,732.6,31.0,30.0,32.0,55.9,44.1,58.5,41.5,53.6,46.4,85.5,14.5,47.7,33.1,7.4,11.7,54.6,7.6,9.3,21.8,6.7
בית הלל,322,1940,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,310,מושב,55,מועצה אזורית מבואות החרמון,0.7,0.3,0.3,1,יהודים,96.7,25.7,70.2,4.1,27.6,69.0,3.4,23.7,71.5,4.8,472.0,28.0,28.0,29.0,50.5,49.5,50.2,49.8,50.7,49.3,87.6,12.4,60.1,32.0,5.8,2.1,49.6,3.9,6.0,36.9,3.6
בית השיטה,242,1935,2,מחוז הצפון,23,נפת יזרעאל,232,עמק חרוד,,ללא שיוך למטרופולין,330,קיבוץ,8,מועצה אזורית הגלבוע,1.0,0.5,0.5,1,יהודים,96.7,24.4,57.2,18.4,26.9,55.0,18.1,21.9,59.4,18.7,827.6,41.0,37.0,43.0,53.3,46.7,55.2,44.8,51.5,48.5,84.0,16.0,46.9,28.0,14.4,10.7,44.9,5.7,5.9,36.2,7.2
